T,psma,hlinucb,tsicf,gcl2c,glmucb
0,0.000000,0.000000,0.000000,0.000000,0.000000
20,2.093106,2.707315,2.872204,2.276966,2.787938
40,3.470400,5.214938,5.737734,4.014854,5.441178
60,4.540479,7.656593,8.480843,5.397146,7.901283
80,5.502911,10.119478,11.164656,6.720485,10.437051
100,6.446131,12.559812,13.889450,7.978857,12.899120
120,7.332086,15.035767,16.519362,9.082481,15.407133
140,8.140825,17.287378,19.068093,10.103380,17.852527
160,8.919728,19.583549,21.706082,11.149778,20.394270
180,9.713958,21.962649,24.482587,12.144476,22.849594
200,10.427321,24.272458,27.182703,13.079491,25.184649
220,11.053343,26.550185,29.899710,13.924368,27.530441
240,11.631985,28.816484,32.576043,14.738637,29.912686
260,12.201776,31.089562,35.235220,15.561263,32.183181
280,12.755579,33.295676,37.818858,16.332895,34.492385
300,13.285525,35.539970,40.502087,17.103958,36.801843
320,13.781467,37.859417,43.194879,17.834734,39.145022
340,14.307772,40.247828,45.872125,18.552937,41.457752
360,14.794602,42.462618,48.590272,19.254050,43.814890
380,15.223112,44.635715,51.195854,19.921347,46.061437
400,15.718172,46.940171,53.757776,20.594155,48.260900
420,16.212432,49.163920,56.429714,21.286233,50.498124
440,16.678696,51.405636,59.047483,21.971942,52.663110
460,17.115291,53.728988,61.675607,22.565837,54.824955
480,17.553035,56.088721,64.284025,23.208169,56.982438
500,17.943608,58.525441,66.850513,23.853517,59.209287
520,18.339831,60.814274,69.490799,24.467833,61.303722
540,18.713208,63.050077,72.212730,25.047385,63.484700
560,19.099637,65.198722,74.939221,25.657838,65.710507
580,19.447411,67.379879,77.617097,26.257646,67.876837
600,19.798989,69.637061,80.286996,26.852624,69.966645
620,20.155271,71.707336,82.886305,27.397208,72.120427
640,20.533600,73.717128,85.503300,27.981055,74.305233
660,20.864844,75.650150,88.013932,28.504593,76.351688
680,21.181807,77.718656,90.488879,29.015554,78.466371
700,21.518150,79.730521,93.036726,29.504872,80.594684
720,21.849923,81.893254,95.581987,30.017936,82.726390
740,22.182315,83.991064,98.182811,30.530878,84.782048
760,22.533512,85.984969,100.771310,31.038555,86.868029
780,22.881498,88.060164,103.355862,31.533396,88.936324
800,23.220661,90.293251,105.980138,31.968843,90.915511
820,23.512485,92.377592,108.567837,32.425563,92.890947
840,23.831238,94.459372,111.186471,32.875246,94.912399
860,24.109802,96.570253,113.689953,33.331523,96.877808
880,24.410275,98.611570,116.247296,33.784204,98.865656
900,24.708614,100.827499,118.865774,34.229586,100.862305
920,25.029163,103.008512,121.463259,34.702202,102.797320
940,25.289754,105.232504,124.130334,35.104596,104.820606
960,25.538245,107.249242,126.715250,35.532215,106.737680
980,25.827722,109.294785,129.279361,35.952054,108.622912
1000,26.085198,111.445070,131.818632,36.371600,110.547139
1020,26.355978,113.454206,134.482628,36.800676,112.429018
1040,26.620341,115.506449,137.231180,37.179400,114.402992
1060,26.849128,117.632187,139.857886,37.548466,116.374418
1080,27.098132,119.646737,142.463422,37.951605,118.347026
1100,27.381617,121.703069,145.050928,38.372196,120.260689
1120,27.631324,123.753909,147.684455,38.780786,122.238824
1140,27.851157,125.764964,150.352936,39.162470,124.140271
1160,28.094099,127.703375,153.014105,39.533093,126.078513
1180,28.322671,129.826678,155.564062,39.887649,127.987492
1200,28.540069,132.055988,158.190234,40.249700,130.001402
1220,28.778670,134.439268,160.806725,40.604785,131.957382
1240,29.005130,136.762353,163.413946,40.971320,133.907705
1260,29.242349,139.075543,165.985443,41.309260,135.855062
1280,29.451978,141.248849,168.628275,41.632244,137.816561
1300,29.680738,143.528174,171.127887,41.950001,139.696767
