T,psma,hlinucb,tsicf,gcl2c,glmucb
0,0.000000,0.000000,0.000000,0.000000,0.000000
20,3.678466,3.953345,4.232495,3.781789,4.079957
40,6.356240,7.778924,8.535103,6.906796,8.291763
60,8.482521,11.580183,12.732359,9.651974,12.323468
80,10.321413,15.430461,16.824649,12.151164,16.337789
100,11.948807,19.299882,20.957521,14.473551,20.276811
120,13.416441,23.122012,25.099257,16.662123,24.239747
140,14.811797,26.877279,29.206969,18.698938,28.173626
160,16.088089,30.667201,33.290646,20.593628,32.068833
180,17.342349,34.365041,37.402084,22.435592,35.993087
200,18.439153,38.046086,41.385993,24.182155,39.938080
220,19.460246,41.612647,45.564765,25.817627,43.812716
240,20.460160,45.100997,49.692695,27.326787,47.698290
260,21.431396,48.594101,53.770864,28.884651,51.588261
280,22.310453,52.022678,57.800319,30.272291,55.387795
300,23.186709,55.429124,61.828897,31.726110,59.328075
320,24.104191,58.814136,65.851871,33.097353,63.209984
340,24.999695,62.134451,69.805601,34.417193,67.003999
360,25.864618,65.375536,73.651829,35.751618,70.705561
380,26.697967,68.717574,77.651929,37.058313,74.407075
400,27.534899,72.086022,81.709825,38.399710,78.133431
420,28.293379,75.486732,85.803579,39.628830,81.893575
440,29.066085,78.840609,89.804921,40.842230,85.607961
460,29.844068,82.215886,93.874532,42.038762,89.372288
480,30.587811,85.736069,97.953136,43.185436,93.099682
500,31.352589,89.282840,102.047533,44.332161,96.855771
520,32.107473,92.757120,106.105237,45.504550,100.659158
540,32.809483,96.212978,110.125252,46.661665,104.351141
560,33.538753,99.637452,114.094717,47.783778,108.092025
580,34.220298,103.034691,118.087756,48.905557,111.796404
600,34.960704,106.357727,121.959093,50.054074,115.453654
620,35.650057,109.644230,125.832369,51.096465,119.097175
640,36.344713,113.072344,129.666632,52.179708,122.673968
660,37.051985,116.468231,133.545264,53.193663,126.236630
680,37.750291,119.755289,137.433479,54.152771,129.822130
700,38.462927,123.122320,141.347311,55.161962,133.358981
720,39.120107,126.418203,145.223508,56.141505,136.962277
740,39.803779,129.705847,148.985370,57.147390,140.539519
760,40.474763,132.976515,152.848881,58.142845,144.107493
780,41.085908,136.175089,156.650518,59.081824,147.696117
800,41.742270,139.314235,160.531704,60.016589,151.290965
820,42.334892,142.473233,164.333617,60.925711,154.930595
840,42.953320,145.682263,168.160443,61.869994,158.476246
860,43.555517,148.837002,171.954008,62.848910,162.002314
880,44.169274,152.071984,175.792428,63.825662,165.488208
900,44.739787,155.226788,179.607553,64.759304,168.995193
920,45.286118,158.356165,183.473383,65.684545,172.561604
940,45.795919,161.433832,187.383236,66.541946,175.970956
960,46.267672,164.508138,191.304659,67.346282,179.350385
980,46.776706,167.544930,195.159798,68.136906,182.753693
1000,47.271370,170.528475,199.050209,68.946072,186.144073
1020,47.790954,173.579985,202.982325,69.728981,189.499183
1040,48.260847,176.702365,206.845408,70.530605,192.919598
1060,48.717163,179.959270,210.750242,71.330479,196.369048
1080,49.223011,183.261419,214.559027,72.141872,199.728118
1100,49.727784,186.616583,218.406464,72.913421,203.073400
1120,50.224286,189.833173,222.266744,73.682898,206.475435
1140,50.749196,193.077303,226.136194,74.528469,209.740805
1160,51.294339,196.417893,230.118376,75.348225,213.197543
1180,51.827141,199.923193,234.101839,76.161411,216.597547
1200,52.348996,203.321273,238.068812,76.993419,219.965798
1220,52.873549,206.737174,242.097452,77.815279,223.428229
1240,53.368277,210.095095,246.033091,78.590002,226.846412
1260,53.861102,213.542403,249.770071,79.314988,230.291096
1280,54.327101,216.911488,253.643969,80.083924,233.726627
1300,54.816818,220.288123,257.516648,80.811478,237.027999
1320,55.310582,223.670054,261.347979,81.577163,240.465760
1340,55.772573,227.031277,265.199257,82.325819,243.841725
1360,56.244949,230.372582,268.998544,83.055678,247.211407
1380,56.714680,233.614152,272.776595,83.787172,250.610351
1400,57.173153,236.881427,276.631633,84.490085,253.927309
1420,57.607466,240.100073,280.507707,85.141269,257.218238
1440,58.057297,243.242378,284.304952,85.793198,260.528508
1460,58.468026,246.315231,288.209732,86.486999,263.727537
1480,58.891509,249.370845,292.055635,87.191460,267.014336
1500,59.337255,252.427349,295.914114,87.873726,270.251733
1520,59.720327,255.454861,299.849223,88.546867,273.569296
1540,60.126939,258.478085,303.802185,89.166765,276.848993
1560,60.519387,261.572030,307.707928,89.844691,280.156639
1580,60.951227,264.677398,311.586829,90.549438,283.445219
1600,61.397667,267.805376,315.515291,91.212564,286.733825
1620,61.842210,271.053876,319.395758,91.877989,290.012561
1640,62.266952,274.418684,323.369113,92.550521,293.319473
1660,62.667227,277.745756,327.362441,93.188978,296.611393
1680,63.037615,280.960082,331.325400,93.808991,299.873787
1700,63.398415,284.167461,335.250916,94.397299,303.052373
1720,63.764186,287.405768,339.179206,94.959553,306.373442
1740,64.137476,290.573497,343.062108,95.501676,309.700659
1760,64.547065,293.700526,347.028012,96.096441,313.044856
1780,64.918499,297.012103,351.015891,96.630896,316.354587
1800,65.290277,300.328379,354.956714,97.196693,319.624176
1820,65.679924,303.825415,358.922648,97.760466,322.984190
1840,66.053898,307.190306,362.958215,98.321331,326.413213
1860,66.451070,310.539625,367.115730,98.917791,329.871511
1880,66.857519,313.905382,371.229405,99.510484,333.296683
1900,67.242047,317.305219,375.277576,100.085114,336.580490
1920,67.620016,320.771378,379.342312,100.647791,339.922503
1940,67.983793,324.192500,383.368770,101.194148,343.330536
1960,68.386186,327.555648,387.419180,101.783361,346.771252
1980,68.740329,330.899589,391.457312,102.348115,350.090441
2000,69.141181,334.202185,395.518576,102.916001,353.453618
