T,psma,hlinucb,tsicf,gcl,glmucb
0,0.000000,0.000000,0.000000,0.000000,0.000000
20,7.837585,12.483300,11.521726,10.317368,12.379041
40,12.039489,24.873190,19.188934,18.470385,24.309843
60,14.828736,37.235299,24.912774,25.613048,36.012200
80,17.182247,49.646569,29.212200,32.016842,47.436013
100,19.061049,62.186596,32.700681,37.644397,58.774894
120,20.686896,74.657110,35.888027,42.886517,69.926514
140,22.122200,87.242213,38.435150,47.735097,80.925007
160,23.405638,99.834718,40.843123,52.183706,91.825349
180,24.643559,112.248753,42.970753,56.135462,102.567161
200,25.765990,124.889209,44.984030,60.111499,113.282998
220,26.779942,137.304688,46.912408,63.647205,123.698296
240,27.791444,149.749780,48.620947,67.065754,134.059750
260,28.655351,162.272797,50.245091,70.340516,144.206668
280,29.521802,174.732216,51.730813,73.375045,154.492981
300,30.334616,187.155364,53.335132,76.275663,164.547922
320,31.085581,199.569595,54.751350,79.126023,174.664110
340,31.821949,211.857356,56.106445,81.901278,184.487744
360,32.493964,224.012599,57.463226,84.653440,194.367940
380,33.154788,236.206735,58.832028,87.059971,204.102358
400,33.813153,248.319125,60.076992,89.556073,213.740802
420,34.414412,260.491571,61.269527,92.014951,223.370226
440,34.969004,272.703637,62.401695,94.329763,232.886336
460,35.569629,284.843334,63.496746,96.501991,242.329045
480,36.133227,296.675590,64.547014,98.695786,251.797253
500,36.637890,308.073709,65.646051,100.792886,261.081454
520,37.163523,319.256439,66.697246,102.914516,270.307664
540,37.692987,330.352957,67.769266,104.836221,279.400417
560,38.159517,341.063921,68.786903,106.702984,288.382063
580,38.602328,351.392720,69.805779,108.645451,297.408958
600,39.030393,361.637143,70.781022,110.386219,306.371939
620,39.487508,371.651375,71.718036,112.289402,315.232225
640,39.887759,381.668724,72.671382,114.028763,324.169595
660,40.296664,391.597850,73.603877,115.746247,332.920835
680,40.714293,401.458107,74.552882,117.460328,341.649294
700,41.109017,411.257070,75.495185,119.115865,350.500569
720,41.508575,421.056028,76.423475,120.680822,359.006645
740,41.886376,430.864386,77.274133,122.318754,367.582066
760,42.240994,440.680437,78.147145,123.773429,376.046599
780,42.604125,450.437967,78.984237,125.327327,384.655691
800,42.973744,460.171810,79.840718,126.846399,393.076113
820,43.347065,469.937611,80.730609,128.294654,401.327464
840,43.693812,479.696592,81.599892,129.820579,409.821460
860,44.026593,489.452222,82.441912,131.326980,418.080910
