T,psma,hlinucb,tsicf,gcl,glmucb
880,44.348060,499.191030,83.191716,132.683436,426.256442
900,44.682837,508.925742,83.937984,134.043581,434.527431
920,44.993073,518.641912,84.700894,135.447075,442.925463
940,45.308550,528.377837,85.454871,136.731660,451.007433
960,45.618018,538.137254,86.244785,138.069567,459.057949
980,45.900333,547.882417,87.022649,139.385368,467.033660
1000,46.193151,557.600534,87.784299,140.704096,475.052274
1020,46.475072,567.355045,88.480669,142.063896,482.812621
1040,46.761584,577.088150,89.264328,143.345969,490.741922
1060,47.023833,586.826919,90.009882,144.597979,498.521383
1080,47.293188,596.556744,90.735234,145.733268,506.214721
1100,47.573066,606.277056,91.451394,146.865890,513.967203
1120,47.827941,616.040747,92.165015,148.068464,521.827908
1140,48.063454,625.780512,92.914043,149.307619,529.373942
1160,48.308443,635.543107,93.608825,150.418333,536.970620
1180,48.576243,645.301492,94.281629,151.568853,544.573372
1200,48.851227,655.035865,94.956933,152.619008,551.949577
1220,49.100998,664.789090,95.618023,153.650290,559.617826
1240,49.362098,674.532258,96.280086,154.816720,567.147282
1260,49.605847,684.298489,96.919565,155.840383,574.346402
1280,49.864565,694.058010,97.611250,156.875332,581.712521
1300,50.122853,703.787198,98.258800,157.938503,589.035222
1320,50.335025,713.520685,98.888766,159.005212,596.381604
1340,50.572207,723.261050,99.498870,160.023800,603.747427
1360,50.798742,732.985689,100.128182,161.024248,611.123015
1380,51.004743,742.729886,100.760969,161.989617,618.473526
1400,51.244132,752.475931,101.381087,162.978436,625.658188
1420,51.448567,762.200574,102.029553,163.898324,632.796227
1440,51.646141,771.933210,102.635537,164.849409,640.101109
1460,51.819230,781.669563,103.249606,165.739152,647.304775
1480,52.012637,791.411599,103.899836,166.725282,654.383380
1500,52.213397,801.177719,104.504056,167.609948,661.641151
1520,52.418607,810.899997,105.096709,168.582745,668.572587
1540,52.612421,820.612965,105.657997,169.512675,675.498614
1560,52.803273,830.332259,106.222039,170.460647,682.545769
1580,53.000850,840.063050,106.820915,171.339543,689.424795
1600,53.171731,849.779709,107.406859,172.188796,696.510241
1620,53.321800,859.499417,108.002677,173.048271,703.486908
1640,53.497325,869.221114,108.603638,173.979853,710.400562
1660,53.645454,878.964649,109.197163,174.848300,717.550302
1680,53.788786,888.711151,109.800993,175.676931,724.204027
1700,53.961636,898.448097,110.418027,176.500074,730.876036
1720,54.142787,908.182732,110.994030,177.339994,737.575024
1740,54.306803,917.920455,111.567075,178.168678,744.264870
1760,54.476415,927.663666,112.126695,179.027592,751.176586
1780,54.635383,937.400626,112.683888,179.875135,757.760208
1800,54.793076,947.136724,113.276398,180.730829,764.318488
1820,54.959646,956.860735,113.839020,181.576196,770.666176
1840,55.110410,966.589750,114.449940,182.402460,777.194894
1860,55.256074,976.310809,114.987530,183.206761,783.705748
1880,55.412743,986.053974,115.552170,183.947230,790.110915
1900,55.540904,995.795174,116.128691,184.746197,796.442692
1920,55.703130,1005.546612,116.705157,185.486295,803.078063
1940,55.867171,1015.290254,117.253163,186.288956,809.724447
1960,56.012858,1025.035551,117.831555,187.005582,815.926845
1980,56.187014,1034.756279,118.369518,187.731961,822.454040
2000,56.358445,1044.472136,118.920203,188.567435,828.579116
