T,psma,hlinucb,tsicf,gcl,glmucb
0,0.000000,0.000000,0.000000,0.000000,0.000000
20,30.847544,46.450314,44.989820,37.394790,46.943410
40,47.309974,90.341112,76.195829,64.729840,90.329223
60,58.585457,133.121757,98.656278,87.052671,132.681998
80,68.023990,176.084713,117.507898,106.598382,173.376810
100,75.704387,218.358808,133.201901,123.400316,213.189812
120,82.305527,260.754857,146.756189,138.123817,251.838220
140,87.935880,303.201790,159.646265,152.004573,289.629625
160,92.962599,345.634926,171.359366,164.720383,327.067278
180,97.670704,388.538787,182.487588,176.409695,363.149335
200,101.804266,430.775623,192.145230,186.983049,399.045425
220,105.661815,471.939587,202.122640,197.066086,433.892003
240,109.067762,512.893705,210.885889,206.810337,467.944553
260,112.384413,553.838780,219.927845,215.555361,501.791827
280,115.272765,594.437200,229.440752,224.120562,534.874898
300,118.267393,634.387014,238.416459,232.161627,567.976054
320,121.128292,673.327509,246.930679,239.789374,599.557206
340,123.837725,712.668559,255.219404,247.797955,631.215154
360,126.352100,752.503091,263.735404,255.334002,662.470246
380,128.680686,792.363966,271.806835,262.003888,693.667856
400,130.912453,831.988455,279.465937,269.143666,723.750550
420,133.006793,871.219433,286.776047,275.613955,754.032909
440,134.996087,910.607747,294.589537,282.058643,783.915935
460,136.857429,949.660954,302.390568,287.622808,813.238919
480,138.552579,988.666239,309.886634,293.766161,842.287698
500,140.218191,1027.564843,317.024229,299.313587,870.861476
520,142.135682,1066.389278,324.208007,304.938291,899.134454
540,143.773175,1105.361701,331.469101,310.144483,926.814972
560,145.427494,1144.337139,338.340353,315.587081,954.091833
580,147.110655,1183.252833,345.209540,320.940305,981.901899
600,148.655252,1222.232482,351.938581,326.189201,1008.808986
620,150.135985,1261.210809,358.615699,331.106147,1035.074873
640,151.492201,1300.192967,365.500412,335.774986,1061.297886
660,152.852209,1339.084879,372.175007,340.445132,1087.087916
680,154.207372,1377.990462,378.617159,345.229123,1112.479082
700,155.484861,1416.906066,385.170865,349.428735,1138.175350
720,156.774234,1455.835316,391.648130,353.961705,1163.926089
740,158.103757,1494.778163,398.065760,358.318747,1189.258219
760,159.359919,1533.747426,404.276750,362.520834,1214.539941
780,160.732118,1572.692040,410.631753,366.616766,1239.483846
800,161.987730,1611.688060,417.010628,370.794642,1264.166013
820,163.307219,1650.579926,423.354105,374.880010,1288.542984
840,164.504635,1689.527951,429.576298,378.876261,1312.046933
860,165.605321,1728.490945,435.512623,382.824144,1335.563019
880,166.723594,1767.424202,441.624114,386.593008,1359.568588
900,167.851422,1806.277687,447.683272,390.322372,1383.405482
920,168.923270,1845.235756,453.555155,393.915326,1406.358066
940,169.923175,1884.104871,459.438613,397.360056,1428.975959
960,170.799686,1923.075899,465.449414,400.735859,1451.838044
980,171.800313,1962.006918,471.343427,404.316940,1475.104812
1000,172.787983,2000.953528,477.509191,407.849133,1497.515499
1020,173.784932,2039.925959,483.221882,411.091532,1518.991131
1040,174.644258,2078.819445,488.994637,414.331393,1541.234628
1060,175.579656,2117.679859,494.865507,417.594954,1562.507871
1080,176.414927,2156.592316,500.786521,420.624009,1583.797576
1100,177.362645,2195.488916,506.294756,423.804920,1605.174954
1120,178.309930,2234.395528,511.963202,426.972459,1626.350052
1140,179.192541,2273.233367,517.685347,429.887004,1647.515665
1160,180.187373,2312.207130,523.012139,432.835682,1668.218199
1180,181.077677,2351.071701,528.448146,435.608424,1689.434371
1200,182.089429,2390.045607,533.942248,438.540833,1710.225954
1220,182.968115,2428.877732,539.432258,441.374025,1730.768059
1240,183.786784,2467.707264,544.798624,444.443475,1751.964710
1260,184.696855,2506.624594,550.147627,447.156255,1772.646586
1280,185.632074,2545.497074,555.656048,449.744097,1791.994771
1300,186.356492,2584.374624,561.042702,452.539713,1811.869674
1320,187.290095,2623.222980,566.506065,455.154302,1831.934609
1340,188.156921,2662.135225,571.870760,458.129731,1852.156747
1360,189.000332,2701.090261,577.118032,460.862108,1871.415985
1380,189.807383,2739.932346,582.136380,463.666617,1890.760057
1400,190.575917,2778.875341,587.431622,466.343557,1909.714251
1420,191.461749,2817.825406,592.702618,468.977132,1929.411066
1440,192.320497,2856.712155,598.095401,471.585545,1948.857304
1460,193.188420,2895.716147,603.354002,474.059467,1967.369231
1480,193.982246,2934.687695,608.505388,476.581302,1986.146638
1500,194.769069,2973.645069,613.427579,479.206159,2005.075967
1520,195.545148,3012.551795,618.389392,481.699444,2023.984089
1540,196.296334,3051.501402,623.420230,484.273354,2043.400855
1560,197.046785,3090.468044,628.712266,486.812943,2061.718892
1580,197.731528,3129.347812,633.888624,489.190230,2080.474125
1600,198.544194,3168.244500,638.947807,491.453001,2098.456036
1620,199.211537,3207.082548,644.034009,493.833411,2116.642551
1640,199.983113,3245.909684,649.313866,496.181804,2134.574295
1660,200.652610,3284.777367,654.588587,498.394208,2152.878883
