T,psma,hlinucb,tsicf,gcl,glmucb
1680,201.260893,3323.703723,659.642556,500.792672,2170.674606
1700,201.990360,3362.676725,664.827030,503.103665,2188.102812
1720,202.619092,3401.566184,670.086773,505.261645,2205.565246
1740,203.306103,3440.484172,675.186357,507.398394,2223.092617
1760,203.977334,3479.357704,680.163827,509.277485,2241.024045
1780,204.567265,3518.254285,685.341932,511.421169,2258.669299
1800,205.261549,3557.202012,690.388547,513.411558,2275.083958
1820,205.881578,3596.189292,695.329228,515.672051,2292.558120
1840,206.581836,3635.079108,700.486409,517.647903,2308.555233
1860,207.243658,3673.911743,705.609472,519.597115,2325.557658
1880,207.833610,3712.871890,710.617211,521.741959,2342.534213
1900,208.491331,3751.767239,715.585430,523.909946,2359.053578
1920,209.157905,3790.643480,720.637600,526.046356,2376.487094
1940,209.712425,3829.502003,725.521688,528.118356,2393.362130
1960,210.248259,3868.425758,730.590171,530.022035,2409.771644
1980,210.840978,3907.361394,735.670331,532.214178,2426.020245
2000,211.534848,3946.197228,740.642432,534.059267,2442.683485
