T,psma,hlinucb,tsicf,gcl2c,glmucb
0,0.000000,0.000000,0.000000,0.000000,0.000000
20,3.708113,3.978095,4.265582,3.843399,4.193860
40,6.467777,7.547606,8.375676,6.917577,8.307653
60,8.807082,11.158533,12.587643,9.670624,12.342236
80,10.746845,14.694155,16.627215,12.053166,16.156717
100,12.450405,18.236163,20.658753,14.314052,20.091357
120,13.946884,21.825373,24.700240,16.441154,23.954202
140,15.407414,25.425746,28.797667,18.460289,27.905123
160,16.745570,28.967630,32.839080,20.330722,31.811845
180,17.987650,32.544249,36.896410,22.100914,35.646533
200,19.166988,36.149424,40.870596,23.749560,39.354193
220,20.315494,39.653777,44.862137,25.370412,43.025783
240,21.470203,43.121229,48.905490,27.000786,46.632764
260,22.580950,46.562867,52.822041,28.504034,50.303980
280,23.607883,49.979976,56.799822,29.956493,53.902813
300,24.628345,53.357609,60.826142,31.382148,57.539450
320,25.597971,56.729917,64.881612,32.777050,61.221833
340,26.516302,60.125243,68.928823,34.053468,64.804356
360,27.408059,63.607323,73.018851,35.270144,68.452997
380,28.312124,67.059622,76.982615,36.511935,72.018471
400,29.262498,70.498180,80.929021,37.826452,75.651384
420,30.163321,73.810711,84.831052,39.170646,79.262379
440,31.066056,77.123827,88.677306,40.422052,82.767207
460,31.900673,80.491975,92.645767,41.698669,86.359607
480,32.752429,83.910465,96.553467,42.918385,89.949920
500,33.543323,87.451130,100.413545,44.102653,93.569730
520,34.310357,91.088526,104.346964,45.219575,97.169775
540,35.093652,94.650774,108.211848,46.295657,100.726450
560,35.859868,98.268632,112.066545,47.394625,104.178740
580,36.607539,101.866713,115.857656,48.525641,107.523534
600,37.369200,105.343012,119.794472,49.566187,110.944541
620,38.114856,108.823181,123.727138,50.568006,114.448324
640,38.862078,112.337406,127.656470,51.620571,117.876981
660,39.602890,115.806115,131.493909,52.648124,121.319774
680,40.279055,119.075645,135.218597,53.642207,124.807252
700,40.957256,122.351940,138.905000,54.620974,128.260571
720,41.579327,125.695626,142.747057,55.540099,131.570745
740,42.280932,129.066980,146.440288,56.507033,134.904870
760,42.985778,132.530118,150.269950,57.479865,138.350274
780,43.662114,136.072086,154.188790,58.390579,141.824207
800,44.301811,139.468837,158.000472,59.266743,145.235688
820,44.886484,142.902414,161.863775,60.136235,148.692982
840,45.440803,146.325040,165.675765,60.928700,152.005180
860,45.999262,149.746136,169.624294,61.700183,155.344355
880,46.561833,153.144809,173.515271,62.482607,158.778124
900,47.098347,156.517991,177.385802,63.286947,162.092857
920,47.614742,159.877314,181.213962,64.055995,165.415836
940,48.169322,163.307987,184.965904,64.800047,168.902219
960,48.695442,166.790693,188.837357,65.543050,172.393245
