T,psma,hlinucb,tsicf,gcl2c,glmucb
980,49.263403,170.340006,192.673347,66.315157,175.851430
1000,49.793703,173.929696,196.622957,67.059336,179.288835
1020,50.284369,177.434292,200.499334,67.788156,182.673941
1040,50.823844,180.910514,204.451288,68.601627,186.065586
1060,51.340144,184.406706,208.459065,69.377652,189.318899
1080,51.882936,188.046527,212.371818,70.105340,192.659334
1100,52.286732,191.679218,216.356814,70.802828,196.021982
1120,52.778528,195.223013,220.323766,71.474052,199.354570
1140,53.259341,198.697977,224.268325,72.181641,202.827242
1160,53.768017,202.072508,228.097163,72.883607,206.231167
1180,54.241347,205.421654,231.942442,73.543115,209.684463
1200,54.709741,208.820195,235.793858,74.263059,213.033967
1220,55.179271,212.138899,239.623636,75.026076,216.397169
1240,55.647654,215.479260,243.600034,75.800754,219.734209
1260,56.114707,218.900614,247.510171,76.487009,223.021200
1280,56.607066,222.342170,251.423410,77.196061,226.384555
1300,57.048345,225.709649,255.331982,77.881460,229.719035
1320,57.482925,228.985202,259.266069,78.593757,233.006823
1340,57.927380,232.262843,263.172016,79.271615,236.256175
1360,58.343817,235.556556,267.187560,79.945482,239.535401
1380,58.711105,238.934316,271.188311,80.550495,242.875597
1400,59.122968,242.265625,275.121053,81.231708,246.270727
1420,59.497697,245.769210,279.103322,81.865731,249.588738
1440,59.926723,249.177393,283.035884,82.481739,252.891627
1460,60.339239,252.545360,286.863016,83.132573,256.202072
1480,60.764406,255.991175,290.731952,83.789168,259.484422
1500,61.182400,259.538723,294.611337,84.429720,262.672666
1520,61.646040,263.097182,298.503170,85.091118,265.922375
1540,62.086894,266.754215,302.594225,85.771879,269.300996
1560,62.516557,270.384404,306.606509,86.358718,272.629279
1580,62.872710,274.003991,310.607636,86.947580,275.890206
1600,63.248154,277.557716,314.565820,87.536895,279.166306
1620,63.585126,281.078192,318.556384,88.109759,282.484917
1640,63.941366,284.635291,322.563732,88.681561,285.886148
1660,64.325268,288.140122,326.566851,89.236299,289.267326
1680,64.708851,291.628456,330.556509,89.859700,292.633486
1700,65.099658,295.317055,334.498505,90.423468,295.920203
1720,65.469705,299.106063,338.445057,90.999509,299.255989
1740,65.828510,302.921836,342.424804,91.596841,302.571666
1760,66.231416,306.712645,346.402298,92.134938,305.784300
1780,66.692908,310.448655,350.417900,92.736852,309.008414
1800,67.112227,314.132613,354.480005,93.298766,312.252347
1820,67.448755,317.887963,358.614548,93.839282,315.473284
1840,67.807746,321.625552,362.606091,94.405427,318.693881
1860,68.174567,325.255882,366.654871,94.932668,322.015645
1880,68.537698,328.843620,370.689554,95.457018,325.321061
1900,68.915671,332.317246,374.786311,96.004252,328.656347
1920,69.313118,335.888881,378.827828,96.536502,332.022897
1940,69.644221,339.441034,382.761930,97.038765,335.212454
1960,69.957133,342.995820,386.620096,97.499637,338.366557
1980,70.268590,346.595205,390.518310,98.002226,341.487284
2000,70.569808,350.055702,394.404247,98.470885,344.616001
